Bid,Ask,Price,Trade Description,Implied Vol (Daily BP),Bloomberg,Strike,Trade Amount,DV01,Underlying,Biz Days,Contract Notional,Expiry Date,NPV,DV01 Gamma,Theta,% Delta,Vega,Underlying,Sticky Delta Hedge Amount,Underlying,Atm Vol (Daily BP),Price in Basis Points,Days,Strike,Gamma,Delta Hedge Amount,Implied Vol,Trade Amount,Expiry Breakeven,Option Price - Intrinsic Price,Vega P&L,Vega (Daily BP),Intrinsic Price (Strike - Underlying * 32),Trade Price,Implied Vol,Atm Vol,Bloomberg
,,,#1st Call/Put#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0-00.4,Loading...,1st  10y note 150 out call,Loading...,TYU5C 113.750 Comdty,113.75,,Loading...,112-04.25,0.2,"112,133",22-Aug-2025 17:30 Chicago,,Loading...,Loading...,Loading...,Loading...,112-04.25,Loading...,112-04.25,Loading...,Loading...,0.2,113.75,Loading...,Loading...,Loading...,,Loading...,0.000,,Loading...,51.75,,Loading...,Loading...,TYU5C 113.750 Comdty
,0-00.4,Loading...,1st  10y note 125 out call,Loading...,TYU5C 113.500 Comdty,113.50,,Loading...,112-04.25,0.2,"112,133",22-Aug-2025 17:30 Chicago,,Loading...,Loading...,Loading...,Loading...,112-04.25,Loading...,112-04.25,Loading...,Loading...,0.2,113.50,Loading...,Loading...,Loading...,,Loading...,0.000,,Loading...,43.75,,Loading...,Loading...,TYU5C 113.500 Comdty
,0-00.4,Loading...,1st  10y note 100 out call,Loading...,TYU5C 113.250 Comdty,113.25,,Loading...,112-04.25,0.2,"112,133",22-Aug-2025 17:30 Chicago,,Loading...,Loading...,Loading...,Loading...,112-04.25,Loading...,112-04.25,Loading...,Loading...,0.2,113.25,Loading...,Loading...,Loading...,,Loading...,0.000,,Loading...,35.75,,Loading...,Loading...,TYU5C 113.250 Comdty
,0-00.4,Loading...,1st  10y note 75 out call,Loading...,TYU5C 113.000 Comdty,113.00,,Loading...,112-04.25,0.2,"112,133",22-Aug-2025 17:30 Chicago,,Loading...,Loading...,Loading...,Loading...,112-04.25,Loading...,112-04.25,Loading...,Loading...,0.2,113.00,Loading...,Loading...,Loading...,,Loading...,0.000,,Loading...,27.75,,Loading...,Loading...,TYU5C 113.000 Comdty
,0-00.4,Loading...,1st  10y note 50 out call,Loading...,TYU5C 112.750 Comdty,112.75,,Loading...,112-04.25,0.2,"112,133",22-Aug-2025 17:30 Chicago,,Loading...,Loading...,Loading...,Loading...,112-04.25,Loading...,112-04.25,Loading...,Loading...,0.2,112.75,Loading...,Loading...,Loading...,,Loading...,0.000,,Loading...,19.75,,Loading...,Loading...,TYU5C 112.750 Comdty
,0-00.4,Loading...,1st  10y note 25 out call,Loading...,TYU5C 112.500 Comdty,112.50,,Loading...,112-04.25,0.2,"112,133",22-Aug-2025 17:30 Chicago,,Loading...,Loading...,Loading...,Loading...,112-04.25,Loading...,112-04.25,Loading...,Loading...,0.2,112.50,Loading...,Loading...,Loading...,,Loading...,0.000,,Loading...,11.75,,Loading...,Loading...,TYU5C 112.500 Comdty
,0-00.4,Loading...,1st  10y note 0 out call,Loading...,TYU5C 112.250 Comdty,112.25,,Loading...,112-04.25,0.2,"112,133",22-Aug-2025 17:30 Chicago,,Loading...,Loading...,Loading...,Loading...,112-04.25,Loading...,112-04.25,Loading...,Loading...,0.2,112.25,Loading...,Loading...,Loading...,,Loading...,0.000,,Loading...,3.750,,Loading...,Loading...,TYU5C 112.250 Comdty
0-07,0-09,Loading...,1st  10y note 0 out put,Loading...,TYU5P 112.250 Comdty,112.25,,Loading...,112-04.25,0.2,"112,133",22-Aug-2025 17:30 Chicago,,Loading...,Loading...,Loading...,Loading...,112-04.25,Loading...,112-04.25,Loading...,Loading...,0.2,112.25,Loading...,Loading...,Loading...,,Loading...,0.000,,Loading...,3.750,,Loading...,Loading...,TYU5P 112.250 Comdty
0-00.4,0-01,Loading...,1st  10y note 25 out put,Loading...,TYU5P 112.000 Comdty,112.00,,-0.0103,112-04.25,0.2,"112,133",22-Aug-2025 17:30 Chicago,,0.0075,-0-00.7,Loading...,Loading...,112-04.25,Loading...,112-04.25,Loading...,0.17,0.2,112.00,Loading...,Loading...,Loading...,,Loading...,0.1718,,Loading...,-4.250,,Loading...,Loading...,TYU5P 112.000 Comdty
,0-00.4,Loading...,1st  10y note 50 out put,Loading...,TYU5P 111.750 Comdty,111.75,,Loading...,112-04.25,0.2,"112,133",22-Aug-2025 17:30 Chicago,,Loading...,Loading...,Loading...,Loading...,112-04.25,Loading...,112-04.25,Loading...,Loading...,0.2,111.75,Loading...,Loading...,Loading...,,Loading...,0.000,,Loading...,-12.25,,Loading...,Loading...,TYU5P 111.750 Comdty
